log10_n_cm3,log10_G_G0,ICII_ICO
5.278616347,-0.502891224,1.00E-03
5.491936767,-0.39488117,1.00E-03
5.663304423,-0.241949826,1.00E-03
5.79155507,-0.141397939,1.00E-03
5.919832812,-0.023573336,1.00E-03
6.048097974,0.086231791,1.00E-03
6.176377651,0.20529016,1.00E-03
6.304645716,0.316945936,1.00E-03
6.467916364,0.472047881,1.00E-03
6.619509439,0.60626394,1.00E-03
6.747781375,0.720387247,1.00E-03
6.876039763,0.825874195,1.00E-03
6.979352865,0.936384331,1.00E-03
,,
4.754629536,-0.483973487,1.00E-01
4.885334674,-0.409448177,1.00E-01
5.010182363,-0.268887039,1.00E-01
5.139428248,-0.152501829,1.00E-01
5.267689539,-0.045164232,1.00E-01
5.395974055,0.07697855,1.00E-01
5.52426244,0.201588863,1.00E-01
5.652548891,0.324965411,1.00E-01
5.780832438,0.446491311,1.00E-01
5.909131469,0.577887334,1.00E-01
6.046508432,0.722580608,1.00E-01
6.200736536,0.886945586,1.00E-01
6.329045242,1.024510437,1.00E-01
6.457368464,1.171328529,1.00E-01
6.585678138,1.309510262,1.00E-01
6.714002327,1.456945237,1.00E-01
6.842309099,1.593276322,1.00E-01
6.963551474,1.6801951,1.00E-01
,,
3.135985031,-0.494049238,1.00E+01
3.374289709,-0.39488117,1.00E+01
3.648678614,-0.288832914,1.00E+01
3.776848945,-0.239482295,1.00E+01
3.905007665,-0.197534269,1.00E+01
4.033176061,-0.149417415,1.00E+01
4.161375422,-0.081560314,1.00E+01
4.289588331,-0.005066854,1.00E+01
4.407445135,0.068136564,1.00E+01
4.546043177,0.166426547,1.00E+01
4.674305436,0.274381027,1.00E+01
4.802576404,0.387887451,1.00E+01
4.930859952,0.50941335,1.00E+01
5.059151241,0.635874312,1.00E+01
5.187451239,0.767887218,1.00E+01
5.315748333,0.898049476,1.00E+01
5.444049299,1.030679264,1.00E+01
5.572351232,1.163925936,1.00E+01
5.700650262,1.295321959,1.00E+01
5.82895026,1.427334865,1.00E+01
5.957251225,1.559964654,1.00E+01
6.08554832,1.690126912,1.00E+01
6.213840576,1.817204756,1.00E+01
6.342141542,1.949834545,1.00E+01
6.470437669,2.07937992,1.00E+01
6.598733796,2.208925296,1.00E+01
6.72702315,2.334152492,1.00E+01
6.855315406,2.461230336,1.00E+01
6.970569781,2.525066275,1.00E+01
,,
2.15781705,-0.4965168,1.00E+02
2.32960103,-0.3839122,1.00E+02
2.50753747,-0.256755,1.00E+02
2.63574167,-0.1858135,1.00E+02
2.76394587,-0.114872,1.00E+02
2.89216362,-0.0352941,1.00E+02
3.02036588,0.03441364,1.00E+02
3.14854976,0.09240062,1.00E+02
3.27673267,0.14977071,1.00E+02
3.40492333,0.21207587,1.00E+02
3.53310237,0.26697843,1.00E+02
3.66127367,0.31694594,1.00E+02
3.78945367,0.37246538,1.00E+02
3.91766174,0.44587443,1.00E+02
4.04587175,0.52051724,1.00E+02
4.17408272,0.59577693,1.00E+02
4.30232079,0.68830934,1.00E+02
4.43058015,0.79441318,1.00E+02
4.55884531,0.9042183,1.00E+02
4.68713176,1.02759485,1.00E+02
4.81541434,1.14850387,1.00E+02
4.94370563,1.27496483,1.00E+02
5.07200563,1.40697774,1.00E+02
5.20029885,1.53467246,1.00E+02
5.32859498,1.66421784,1.00E+02
5.45689207,1.7943801,1.00E+02
5.58518723,1.92330859,1.00E+02
5.71347368,2.04668514,1.00E+02
5.8417611,2.17067857,1.00E+02
5.97004562,2.29282135,1.00E+02
6.09832723,2.41311348,1.00E+02
6.22660884,2.53340562,1.00E+02
6.35488658,2.65123022,1.00E+02
6.48316723,2.77090547,1.00E+02
6.61144787,2.89058072,1.00E+02
6.73972755,3.00963909,1.00E+02
6.86800335,3.12622993,1.00E+02
6.96904213,3.20087274,1.00E+02
,,
1.047758741,0.173315071,1.00E+03
1.180615446,0.117075928,1.00E+03
1.308670626,0.093017501,1.00E+03
1.436759674,0.09054997,1.00E+03
1.564885493,0.111523984,1.00E+03
1.693050019,0.157173306,1.00E+03
1.821246477,0.223179759,1.00E+03
1.949451644,0.294738157,1.00E+03
2.077670359,0.374932913,1.00E+03
2.205900685,0.462530262,1.00E+03
2.334126173,0.547043197,1.00E+03
2.462341017,0.624770422,1.00E+03
2.590561666,0.706198944,1.00E+03
2.718775542,0.783309286,1.00E+03
2.84698458,0.857335215,1.00E+03
2.975198456,0.934445557,1.00E+03
3.103408462,1.009088369,1.00E+03
3.231612661,1.080029883,1.00E+03
3.359831376,1.16022464,1.00E+03
3.488052025,1.241653161,1.00E+03
3.616275578,1.324932331,1.00E+03
3.744503001,1.410679031,1.00E+03
3.872741069,1.503211442,1.00E+03
4.000983975,1.598828267,1.00E+03
4.129244299,1.705548981,1.00E+03
4.25751817,1.820906053,1.00E+03
4.385801717,1.942431952,1.00E+03
4.514089135,2.066425383,1.00E+03
4.642384295,2.195353875,1.00E+03
4.770684293,2.327366781,1.00E+03
4.898976549,2.454444626,1.00E+03
5.027271709,2.583373118,1.00E+03
5.15556203,2.709217197,1.00E+03
5.28384461,2.830126214,1.00E+03
5.412123319,2.948567699,1.00E+03
5.540395255,3.062691006,1.00E+03
5.668659449,3.171879251,1.00E+03
5.796928482,3.284151909,1.00E+03
5.925197514,3.396424568,1.00E+03
6.053472353,3.512398523,1.00E+03
6.181763642,3.638859484,1.00E+03
6.298420011,3.771626358,1.00E+03
6.397640547,3.924399082,1.00E+03
6.479403031,4.083015056,1.00E+03
6.549527358,4.245872099,1.00E+03
6.619651685,4.408729142,1.00E+03
6.689768916,4.567062378,1.00E+03
6.765707538,4.724749357,1.00E+03
6.85910476,4.876943141,1.00E+03
6.96877177,5.008133537,1.00E+03
,,
1.05030006,1.79340336,5.00E+03
1.18301524,1.64694512,5.00E+03
1.3109214,1.52788675,5.00E+03
1.43888659,1.44645823,5.00E+03
1.56692145,1.40944527,5.00E+03
1.69501437,1.40944527,5.00E+03
1.82315277,1.43843875,5.00E+03
1.95131729,1.48408808,5.00E+03
2.07951181,1.54886076,5.00E+03
2.20772085,1.62288669,5.00E+03
2.33593666,1.7012308,5.00E+03
2.46415828,1.78327621,5.00E+03
2.59239441,1.87457485,5.00E+03
2.72064022,1.97204232,5.00E+03
2.84892183,2.09233446,5.00E+03
2.97721893,2.22249672,5.00E+03
3.09971278,2.36487325,5.00E+03
3.21638761,2.50940888,5.00E+03
3.33306776,2.65733736,5.00E+03
3.44392042,2.80202378,5.00E+03
3.61312546,3.0285157,5.00E+03
3.72981519,3.18255132,5.00E+03
3.8464847,3.32369409,5.00E+03
3.96316166,3.46958686,5.00E+03
4.08565996,3.61480106,5.00E+03
4.21398221,3.76100227,5.00E+03
4.33648003,3.90590802,5.00E+03
4.45897514,4.04908651,5.00E+03
4.58148195,4.19972927,5.00E+03
4.69233142,4.34237998,5.00E+03
4.79735943,4.48563386,5.00E+03
4.90239808,4.63567345,5.00E+03
5.00745211,4.79551462,5.00E+03
5.11250614,4.95535579,5.00E+03
5.21172727,5.1085055,5.00E+03
5.30510795,5.2501572,5.00E+03
5.39849662,5.39689818,5.00E+03
5.48605262,5.5370958,5.00E+03
5.56778374,5.67571816,5.00E+03
5.64953159,5.82500378,5.00E+03
5.73128704,5.97913634,5.00E+03
5.81304858,6.13714645,5.00E+03
5.89480859,6.29418717,5.00E+03
5.9975172,6.44353742,5.00E+03
,,
1.01448245,3.08626964,1.00E+04
1.05821956,3.00657524,1.00E+04
1.17916309,2.90298006,1.00E+04
1.30124965,2.78571066,1.00E+04
1.42919355,2.69071071,1.00E+04
1.55719647,2.63334062,1.00E+04
1.68528552,2.63087309,1.00E+04
1.81342682,2.66171723,1.00E+04
1.94162618,2.72957433,1.00E+04
2.06986232,2.82087297,1.00E+04
2.19812845,2.93129498,1.00E+04
2.32643135,3.06515854,1.00E+04
2.44893178,3.21172988,1.00E+04
2.56560661,3.3562655,1.00E+04
2.676464,3.50396779,1.00E+04
2.77567862,3.65297068,1.00E+04
2.82821199,3.73694384,1.00E+04
2.95667594,3.97347431,1.00E+04
3.03260823,4.12712217,1.00E+04
3.10272723,4.28658636,1.00E+04
3.16702276,4.44537198,1.00E+04
3.22548312,4.59601474,1.00E+04
3.28393709,4.74258608,1.00E+04
3.34822624,4.89730027,1.00E+04
3.4125239,5.05744303,1.00E+04
3.47096723,5.19722866,1.00E+04
3.54107878,5.35194285,1.00E+04
3.62865436,5.50462133,1.00E+04
3.72787356,5.65654584,1.00E+04
3.83872824,5.802514,1.00E+04
3.96124221,5.9577217,1.00E+04
4.0894706,6.04408528,1.00E+04
4.21763997,6.09281902,1.00E+04
4.34581514,6.14525405,1.00E+04
4.47399514,6.2007735,1.00E+04
4.60223224,6.29268903,1.00E+04
4.71494927,6.38864856,1.00E+04
4.82962393,6.49533501,1.00E+04
,,
1.069839757,3.733242543,1.50E+04
1.197982993,3.765320446,1.50E+04
1.326154293,3.815287947,1.50E+04
1.454343977,3.876976221,1.50E+04
1.582586883,3.972593046,1.50E+04
1.710906234,4.116943607,1.50E+04
1.821762118,4.263684588,1.50E+04
1.880128539,4.354443461,1.50E+04
2.031892942,4.597880812,1.50E+04
2.125293585,4.752255717,1.50E+04
2.212867831,4.904085981,1.50E+04
2.300438086,5.053371604,1.50E+04
2.388005299,5.200718453,1.50E+04
2.463926688,5.347419043,1.50E+04
2.539856186,5.499289698,1.50E+04
2.621608597,5.651483483,1.50E+04
2.697539616,5.804323525,1.50E+04
2.767662169,5.966049616,1.50E+04
2.843602058,6.124544417,1.50E+04
2.919539667,6.281585137,1.50E+04
3.00134872,6.469888593,1.50E+04
,,
1.01957809,5.09747872,1.00E+05
1.07356972,5.18314831,1.00E+05
1.16545983,5.3025041,1.00E+05
1.25303579,5.45542493,1.00E+05
1.34641248,5.59453199,1.00E+05
1.43979716,5.73872833,1.00E+05
1.53901932,5.89253776,1.00E+05
1.6155846,6.03729957,1.00E+05
1.71411928,6.16525868,1.00E+05
1.80166843,6.30109405,1.00E+05
1.89795032,6.43875686,1.00E+05